(id,game_id,team_id,fgm,fga,threeptm,threepta,ftm,fta,offReb,defReb,assists,steals,blocks,tov,fouls,points),
(29,22300089,1610612763,39,91,19,47,9,9,6,39,27,7,8,16,21,106),
(30,22300090,1610612740,40,87,9,33,7,16,4,39,20,8,5,13,22,96),
(31,22300091,1610612739,43,100,12,31,15,24,19,33,29,2,6,6,16,113),
(32,22300092,1610612755,43,86,10,28,18,21,9,33,25,8,7,9,18,114),
(33,22300093,1610612748,35,87,12,38,8,14,9,33,24,6,1,14,12,90),
(34,22300094,1610612756,45,85,10,37,26,28,7,32,31,10,7,11,19,126),
(35,22300095,1610612743,53,88,11,27,11,13,10,38,34,8,5,13,21,128),
(36,22300096,1610612744,35,81,18,45,18,23,8,41,27,6,6,14,18,106),
(37,22300097,1610612737,47,93,15,37,18,22,13,33,32,15,2,17,17,127),
(38,22300098,1610612755,40,82,11,28,35,40,11,40,28,10,17,15,20,126),
(39,22300099,1610612746,47,91,16,42,13,21,9,39,23,15,5,16,16,123),
(40,22300100,1610612747,43,98,15,45,26,34,8,45,27,4,4,12,22,127),
(41,22300101,1610612751,49,87,12,33,23,32,10,36,25,4,8,13,19,133),
(42,22300102,1610612741,40,87,6,17,26,31,10,34,19,8,6,13,17,112),
(43,22300103,1610612738,51,102,19,53,5,7,15,36,31,11,6,17,21,126),
(44,22300104,1610612737,48,86,14,30,17,18,4,32,28,6,7,9,12,127),
(45,22300105,1610612757,38,85,11,35,12,15,13,38,20,6,7,14,19,99),
(46,22300106,1610612742,42,84,23,47,18,24,6,42,24,4,7,15,17,125),
(47,22300107,1610612748,41,86,13,34,19,20,7,33,27,7,2,14,20,114),
(48,22300108,1610612744,51,98,15,41,13,20,21,43,28,6,7,14,21,130),
(49,22300109,1610612765,39,91,15,28,19,24,13,28,31,6,5,16,25,112),
(50,22300110,1610612743,47,84,9,28,7,17,7,36,32,4,8,12,14,110),
(51,22300111,1610612747,42,79,8,27,14,18,3,37,28,7,10,16,17,106),
(52,22300112,1610612739,36,92,10,38,9,12,14,32,19,6,6,15,19,91),
(53,22300113,1610612756,42,83,18,39,12,15,6,37,29,8,7,19,18,114),
(54,22300114,1610612746,44,89,14,31,16,23,9,35,29,10,4,16,26,118),
(55,22300115,1610612765,40,90,11,29,10,11,6,32,24,12,4,18,31,101),
(56,22300116,1610612749,35,76,13,34,28,38,7,22,19,9,2,12,17,111),
(57,22300117,1610612737,46,92,9,32,29,32,14,43,26,8,3,20,16,130),
(58,22300118,1610612738,54,95,20,35,27,28,11,46,27,5,2,11,19,155),
(59,22300119,1610612751,37,82,16,36,19,26,7,40,27,11,4,18,18,109),
(60,22300120,1610612739,32,74,12,32,19,20,6,40,22,7,5,18,27,95),
(61,22300121,1610612740,40,102,13,42,17,29,22,36,23,8,5,10,20,110),
(62,22300122,1610612766,45,90,11,27,18,25,15,29,21,9,8,16,19,119),
(63,22300123,1610612743,38,96,6,33,7,10,12,31,23,6,10,15,22,89),
(64,22300124,1610612741,42,89,11,33,10,11,12,31,19,10,3,13,23,105),
(65,22300125,1610612763,35,96,14,54,25,32,14,28,25,12,7,15,22,109),
(66,22300126,1610612744,39,81,11,31,13,15,7,29,32,5,6,17,17,102),
(67,22300127,1610612746,47,99,14,34,17,27,12,34,22,12,1,13,31,125),
(68,22300128,1610612755,42,92,9,25,21,25,15,31,21,12,3,14,19,114),
(69,22300129,1610612765,41,94,13,38,21,26,19,29,30,4,5,16,31,116),
(70,22300130,1610612753,39,85,10,29,27,36,10,33,27,17,9,17,25,115),
(71,22300131,1610612756,43,80,16,32,19,26,5,29,26,5,4,14,15,121),
(72,22300001,1610612739,44,84,8,28,20,25,5,30,27,10,9,13,20,116),
(73,22300002,1610612749,35,82,20,39,20,28,7,34,24,6,11,14,16,110),
(74,22300003,1610612748,48,80,13,27,12,14,7,30,35,9,1,19,18,121),
(75,22300004,1610612751,44,96,18,45,3,5,8,31,32,4,4,8,12,109),
(76,22300005,1610612744,49,92,18,40,25,30,13,25,36,9,2,15,25,141),
(77,22300006,1610612742,41,86,17,42,15,17,10,24,27,12,6,15,19,114),
(78,22300007,1610612763,47,96,10,35,9,13,7,41,29,8,10,17,25,113),
(79,22300132,1610612755,43,90,11,30,15,18,15,36,24,5,6,17,24,112),
(80,22300133,1610612766,47,88,8,20,23,23,12,29,23,5,10,13,20,125),
(81,22300134,1610612747,37,84,8,30,19,21,10,30,17,6,10,17,21,101),
(82,22300135,1610612737,45,93,14,41,19,24,19,33,28,4,6,11,16,123),
(83,22300136,1610612751,43,100,17,52,11,17,10,32,22,4,5,5,21,114),
(84,22300137,1610612745,40,87,13,36,14,20,10,43,28,4,3,11,18,107),
(85,22300138,1610612750,45,81,9,24,24,31,9,34,25,10,11,10,23,123),
(86,22300139,1610612741,39,86,7,26,16,23,9,28,28,7,3,11,19,101),
(87,22300140,1610612765,43,87,8,23,12,14,10,23,25,7,6,16,23,106),
(88,22300141,1610612759,48,96,10,32,10,13,9,37,30,7,7,17,21,116),
(89,22300142,1610612739,41,83,11,37,22,28,13,41,26,8,2,18,21,115),
(90,22300143,1610612766,49,99,8,30,12,21,10,33,30,5,2,8,25,118),
(91,22300144,1610612763,45,89,13,32,9,13,10,39,27,6,7,16,18,112),
(92,22300145,1610612765,38,80,13,30,20,21,7,32,23,8,2,14,20,109),
(93,22300146,1610612754,55,95,20,38,22,23,9,40,38,7,4,14,24,152),
(94,22300147,1610612742,41,82,15,40,20,28,5,26,21,9,6,14,20,117),
(95,22300148,1610612755,51,91,12,31,32,36,10,35,37,12,7,15,15,146),
(96,22300149,1610612751,49,101,16,45,11,13,11,35,22,2,4,8,16,125),
(97,22300150,1610612747,44,81,8,26,11,14,5,33,28,6,5,17,17,107),
(98,22300151,1610612746,36,73,11,32,14,16,7,24,21,8,3,22,15,97),
(99,22300152,1610612741,48,93,18,34,16,19,10,26,26,12,3,8,18,130),
(100,22300153,1610612745,43,75,15,31,21,27,5,34,28,8,4,10,19,122),
(101,22300154,1610612738,36,92,11,39,26,34,11,34,20,13,2,16,26,109),
(102,22300155,1610612737,38,102,14,42,27,32,25,34,27,8,3,15,16,117),
(103,22300156,1610612743,51,95,15,39,17,23,11,34,37,6,5,9,16,134),
(104,22300157,1610612766,41,79,8,25,26,35,11,36,17,8,5,20,22,116),
(105,22300158,1610612754,52,101,13,41,17,20,14,32,26,14,7,11,15,134),
(106,22300159,1610612738,36,91,15,47,16,19,9,34,28,8,6,12,13,103),
(107,22300160,1610612751,37,92,15,41,11,13,14,35,22,10,10,14,14,100),
(108,22300161,1610612752,46,100,19,42,15,22,13,34,28,7,0,3,14,126),
(109,22300162,1610612741,42,96,14,33,17,23,9,30,30,12,7,14,22,115),
(110,22300163,1610612745,51,93,14,33,12,19,14,43,26,4,4,11,23,128),
(111,22300164,1610612763,35,90,11,37,21,28,13,25,20,10,4,13,27,102),
(112,22300165,1610612765,48,98,7,29,15,16,11,42,28,2,5,17,24,118),
(113,22300166,1610612750,45,82,15,37,17,24,8,40,30,9,7,16,23,122),
(114,22300167,1610612739,42,83,9,29,27,37,11,30,26,9,5,18,24,120),
(115,22300168,1610612742,40,84,17,41,19,31,6,32,25,4,6,15,21,116),
(116,22300169,1610612743,41,92,11,35,15,22,10,35,24,7,4,6,20,108),
(117,22300170,1610612757,44,87,8,22,22,29,7,29,26,10,5,18,29,118),
(118,22300171,1610612754,44,92,20,48,18,20,9,31,27,6,6,11,25,126),
(119,22300172,1610612737,41,85,15,39,23,30,8,28,22,13,7,17,25,120),
(120,22300008,1610612765,40,86,8,28,18,22,11,37,28,3,5,16,26,106),
(121,22300009,1610612766,50,110,6,28,18,28,28,39,31,10,4,9,19,124),
(122,22300010,1610612751,38,85,15,37,16,18,9,37,26,0,3,10,25,107),
(123,22300011,1610612745,36,88,10,35,22,28,9,33,20,9,5,9,22,104),
(124,22300012,1610612763,46,101,19,48,10,13,14,23,23,5,5,11,23,121),
(125,22300013,1610612750,43,87,10,27,21,27,13,38,23,6,4,18,19,117),
(126,22300014,1610612742,51,98,19,42,23,26,15,26,30,7,1,8,23,144),
(127,22300015,1610612747,42,84,12,27,26,34,9,34,27,9,7,11,20,122),
(128,22300016,1610612760,39,87,7,30,13,16,5,33,22,9,5,16,15,98),
(129,22300173,1610612749,38,77,9,29,12,25,5,31,25,9,6,19,24,97),
(130,22300174,1610612738,47,86,15,44,8,13,5,41,30,1,4,12,14,117),
(131,22300175,1610612737,38,87,18,46,15,18,15,33,23,6,6,21,19,109),
(132,22300176,1610612739,37,86,11,30,33,43,11,34,23,13,3,10,24,118),
(133,22300177,1610612766,44,94,12,35,7,11,15,21,21,5,4,12,25,107),
(134,22300178,1610612751,37,98,12,49,16,20,20,46,22,6,6,18,18,102),
(135,22300179,1610612746,37,85,12,34,15,23,8,33,26,9,3,14,23,101),
(136,22300180,1610612754,47,90,16,39,16,19,8,24,31,8,9,10,14,126),
(137,22300181,1610612741,44,91,11,30,20,25,11,29,22,12,6,6,21,119),
(138,22300182,1610612743,42,91,9,32,11,14,12,37,24,3,5,11,20,104),
(139,22300183,1610612742,50,102,20,53,16,21,8,34,29,7,6,6,19,136),
(140,22300184,1610612748,39,89,12,31,28,30,11,30,26,7,3,4,12,118),
(141,22300185,1610612760,40,82,10,27,21,25,6,27,23,9,8,7,21,111),
(142,22300186,1610612744,37,96,12,43,24,28,19,32,24,9,0,14,28,110),
(143,22300187,1610612747,41,84,4,19,30,37,7,34,27,8,4,9,11,116),
(144,22300188,1610612738,40,79,19,43,15,16,8,29,27,3,3,11,22,114),
(145,22300189,1610612761,45,90,4,20,17,25,16,32,28,11,4,16,13,111),
(146,22300190,1610612741,38,100,14,42,19,21,18,29,24,9,7,6,25,109),
(147,22300191,1610612739,45,91,16,35,14,17,14,25,24,3,1,11,18,120),
(148,22300017,1610612766,36,81,15,32,18,22,13,32,21,6,0,18,21,105),
(149,22300018,1610612737,45,87,12,33,24,26,10,31,28,9,7,14,19,126),
(150,22300019,1610612754,48,93,13,37,23,33,10,31,32,7,5,11,28,132),
(151,22300020,1610612751,46,85,19,39,13,20,13,31,22,13,3,15,24,124),
(152,22300021,1610612760,46,89,15,39,16,20,4,36,34,19,6,15,17,123),
(153,22300022,1610612742,38,90,14,42,20,26,16,29,25,4,3,20,16,110),
(154,22300023,1610612757,37,88,11,35,14,20,13,30,23,5,6,17,15,99),
(155,22300024,1610612743,39,73,8,23,25,32,6,30,26,4,2,14,19,111),
(156,22300025,1610612744,37,88,13,39,14,16,13,33,28,11,2,19,22,101),
(157,22300026,1610612747,47,81,22,35,18,24,10,44,30,4,10,18,13,134),
(158,22300192,1610612742,48,92,17,42,17,29,9,37,32,6,4,10,16,130),
(159,22300193,1610612737,41,75,12,31,20,26,6,24,28,11,6,15,20,114),
(160,22300194,1610612738,42,88,18,50,15,19,12,33,23,7,8,9,15,117),
(161,22300195,1610612749,44,85,20,39,20,21,9,32,25,8,9,13,25,128),
(162,22300196,1610612741,33,83,9,33,19,22,14,39,16,7,4,19,25,94),
(163,22300197,1610612750,42,92,5,27,26,28,16,24,18,8,5,6,14,115),
(164,22300198,1610612747,42,83,11,29,15,19,7,36,25,12,6,23,17,110),
(165,22300199,1610612739,42,75,9,30,16,21,7,40,23,5,9,17,16,109),
(166,22300200,1610612751,40,85,14,36,21,27,10,30,29,5,3,14,20,115),
(167,22300201,1610612744,40,98,14,41,15,19,20,29,27,5,4,16,19,109),
(168,22300027,1610612766,37,91,6,26,19,22,9,34,18,5,2,12,14,99),
(169,22300028,1610612752,45,91,16,38,14,20,14,34,26,5,6,10,21,120),
(170,22300029,1610612737,40,89,12,33,24,30,14,25,24,8,4,13,20,116),
(171,22300030,1610612739,42,82,9,21,15,21,7,32,21,9,6,12,9,108),
(172,22300031,1610612738,42,92,16,46,8,9,8,36,29,5,4,10,13,108),
(173,22300032,1610612758,46,85,18,42,19,24,4,38,31,10,2,13,22,129),
(174,22300033,1610612741,35,79,10,29,17,22,5,29,19,10,3,16,21,97),
(175,22300034,1610612743,47,96,10,40,6,12,11,40,37,4,3,13,20,110),
(176,22300035,1610612756,45,86,18,33,23,26,5,31,35,5,4,8,22,131),
(177,22300036,1610612747,40,81,12,29,15,22,11,33,27,11,6,18,16,107),
(178,22300037,1610612745,38,88,10,31,14,20,12,35,24,6,5,16,28,100),
(179,22300202,1610612766,40,82,17,35,11,13,4,32,29,5,5,13,22,108),
(180,22300203,1610612750,43,80,13,31,22,27,5,28,29,6,7,14,21,121),
(181,22300204,1610612741,36,81,16,45,14,19,10,34,24,9,6,12,22,102),
(182,22300205,1610612742,51,103,16,47,7,10,11,38,27,1,2,12,16,125),
(183,22300206,1610612763,40,86,11,33,29,36,12,33,23,7,3,12,25,120),
(184,22300207,1610612744,44,97,18,46,17,21,14,35,33,6,4,16,18,123),
(185,22300208,1610612751,38,81,11,28,12,16,9,36,24,2,8,15,14,99),
(186,22300211,1610612765,39,83,9,26,26,35,7,34,25,3,3,17,23,113),
(187,22300209,1610612754,42,95,8,31,24,31,11,29,24,10,7,16,32,116),
(188,22300210,1610612739,45,82,11,27,20,26,11,36,30,6,5,13,18,121),
(189,22300212,1610612742,41,88,12,34,19,26,11,29,23,8,2,10,15,113),
(190,22300213,1610612738,35,77,12,31,20,25,9,36,20,6,10,17,19,102),
(191,22300214,1610612756,50,102,18,45,22,26,11,33,36,11,13,17,28,140),
(192,22300215,1610612760,49,81,22,36,14,14,10,33,28,8,3,17,18,134),
(193,22300216,1610612745,41,84,14,37,8,10,6,28,35,7,3,18,25,104),
(194,22300217,1610612738,42,97,16,50,18,28,11,37,19,6,8,13,15,118),
(195,22300218,1610612743,40,87,11,28,16,21,11,32,30,7,8,14,17,107),
(196,22300219,1610612749,55,94,11,29,21,28,16,39,33,3,6,13,13,142),
(197,22300220,1610612741,37,81,11,37,15,16,7,29,21,2,7,11,16,100),
(198,22300221,1610612750,41,80,11,34,24,32,7,37,30,7,7,13,26,117),
(199,22300222,1610612740,50,92,12,28,17,21,10,45,38,8,6,10,19,129),
(200,22300223,1610612746,45,95,12,36,22,25,10,41,30,15,3,7,10,124),
(201,22300224,1610612744,36,77,21,43,28,33,8,35,26,3,1,8,21,121),
(202,22300038,1610612753,50,100,12,31,14,20,15,25,31,12,8,12,19,126),
(203,22300039,1610612737,57,95,15,31,23,28,12,27,28,8,4,15,23,152),
(204,22300040,1610612739,46,94,9,25,21,25,14,42,33,9,4,15,21,122),
(205,22300041,1610612756,43,76,7,17,27,28,11,27,26,8,8,13,18,120),
(206,22300042,1610612747,49,86,11,29,22,27,9,43,35,6,5,13,15,131),
(207,22300225,1610612766,43,91,16,37,15,21,11,38,27,6,4,12,15,117),
(208,22300226,1610612743,44,93,15,35,16,21,17,25,29,6,2,10,25,119),
(209,22300227,1610612737,51,116,18,49,27,29,22,36,24,10,8,14,18,147),
(210,22300228,1610612738,44,84,17,42,14,17,4,39,27,3,5,15,15,119),
(211,22300229,1610612739,36,77,14,30,10,14,7,27,25,5,6,19,17,96),
(212,22300230,1610612754,50,91,18,39,13,16,5,26,33,10,6,14,24,131),
(213,22300231,1610612745,40,92,14,43,17,20,6,43,22,6,6,6,22,111),
(214,22300232,1610612750,43,89,10,26,16,24,10,38,28,10,8,12,21,112),
(215,22300233,1610612740,41,87,7,30,28,37,13,35,23,10,2,10,28,117),
(216,22300234,1610612741,34,88,17,44,17,17,11,27,22,7,2,10,26,102),
(217,22300235,1610612746,39,85,9,28,22,29,11,39,29,10,3,16,23,109),
(218,22300236,1610612744,43,90,10,32,19,29,11,32,29,10,3,15,34,115),
(219,22300237,1610612757,47,92,17,39,10,15,14,23,31,9,6,13,21,121),
(220,22300238,1610612742,38,96,16,50,12,16,11,37,21,5,4,4,18,104),
(221,22300043,1610612738,31,76,7,29,27,37,4,27,17,10,4,14,18,96),
(222,22300044,1610612763,37,80,9,33,6,10,6,29,22,6,2,13,22,89),
(223,22300045,1610612748,34,87,10,37,20,21,10,31,20,11,0,11,19,98),
(224,22300046,1610612741,42,82,12,27,12,19,9,28,20,5,2,12,20,108),
(225,22300047,1610612765,43,90,7,18,20,24,14,29,22,6,11,14,18,113),
(226,22300048,1610612743,32,94,7,30,15,21,16,30,17,8,4,15,14,86),
(227,22300049,1610612749,48,92,9,31,26,33,10,40,28,6,6,9,22,131),
(228,22300050,1610612750,36,82,12,33,27,29,10,34,25,6,9,18,18,111),
(229,22300051,1610612744,40,81,19,42,19,24,7,34,35,7,2,24,21,118),
(230,22300052,1610612746,42,92,11,37,11,17,8,31,27,11,8,11,24,106),
(231,22300239,1610612760,43,98,16,43,21,26,13,25,29,3,3,4,27,123),
(232,22300240,1610612751,39,78,14,36,20,23,8,34,27,11,9,11,18,112),
(233,22300241,1610612737,52,102,18,37,14,20,17,32,29,13,2,9,15,136),
(234,22300242,1610612739,43,91,9,28,20,23,7,30,30,13,4,14,16,115),
(235,22300243,1610612740,39,93,11,36,11,18,13,29,31,15,4,13,17,100),
(236,22300244,1610612742,34,91,9,38,11,14,10,27,17,6,5,9,24,88),
(237,22300245,1610612749,35,89,14,42,24,32,18,34,19,13,11,17,20,108),
(238,22300246,1610612737,36,88,19,53,12,19,11,32,15,5,4,15,17,103),
(239,22300247,1610612752,39,86,12,29,23,32,13,25,18,7,5,6,19,113),
(240,22300248,1610612766,44,83,13,30,16,25,5,31,27,6,7,18,26,117),
(241,22300249,1610612763,34,88,10,37,19,27,11,24,24,4,4,13,18,97),
(242,22300250,1610612751,41,83,25,53,11,15,8,31,29,7,2,9,19,118),
(243,22300251,1610612739,45,97,10,31,5,6,12,37,29,2,5,14,18,105),
(244,22300252,1610612743,50,89,12,28,20,25,11,34,38,8,3,19,25,132),
(245,22300253,1610612765,43,102,8,38,13,19,18,31,29,7,11,16,22,107),
(246,22300254,1610612754,42,88,8,33,18,24,10,32,26,10,6,20,24,110),
(247,22300255,1610612747,39,83,7,28,9,13,6,26,23,3,4,17,18,94),
(248,22300256,1610612740,44,88,7,22,17,25,11,37,27,5,1,8,25,112),
(249,22300257,1610612743,44,92,10,22,15,28,18,34,28,8,6,11,22,113),
(250,22300053,1610612738,47,90,21,49,9,12,11,41,36,6,9,16,18,124),
(251,22300054,1610612751,40,89,13,38,22,26,13,46,26,7,8,15,17,115),
(252,22300055,1610612737,35,101,13,44,22,24,14,30,21,9,3,10,16,105),
(253,22300056,1610612748,48,94,14,30,14,21,8,27,32,3,5,6,22,124),
(254,22300057,1610612766,37,89,13,31,4,7,13,28,21,8,2,17,14,91),
(255,22300058,1610612750,33,78,14,33,26,32,10,41,18,3,9,19,17,106),
(256,22300059,1610612742,42,89,12,34,25,29,9,29,25,5,4,7,25,121),
(257,22300060,1610612744,40,83,17,41,26,30,9,43,25,6,6,18,31,123),
(258,22300258,1610612765,40,97,15,36,12,14,10,29,28,8,3,14,31,107),
(259,22300259,1610612753,51,84,17,27,20,24,9,35,34,5,6,18,22,139),
(260,22300260,1610612756,38,94,7,26,22,23,12,35,25,3,5,9,15,105),
(261,22300261,1610612763,43,87,13,39,6,8,12,39,26,9,10,15,15,105),
(262,22300262,1610612740,42,78,10,30,30,34,13,27,33,11,4,20,22,124),
(263,22300263,1610612743,48,95,19,43,19,26,13,28,37,4,2,3,18,134),
(264,22300264,1610612746,50,93,14,28,17,22,8,29,28,8,5,4,20,131),
(265,22300265,1610612739,38,89,7,32,12,12,14,21,25,12,2,17,15,95),
(266,22300266,1610612751,52,105,14,36,10,15,22,30,21,6,4,9,11,128),
(267,22300267,1610612754,50,98,11,43,21,32,10,24,30,11,5,9,31,132),
(268,22300268,1610612765,43,81,15,35,11,17,8,34,22,4,3,20,25,112),
(269,22300269,1610612741,45,98,13,37,17,22,14,37,32,14,4,21,18,120),
(270,22300270,1610612750,39,89,13,35,10,13,10,32,29,13,7,11,16,101),
(271,22300271,1610612747,36,81,11,33,27,32,7,34,24,6,2,13,20,110),
(272,22300272,1610612737,49,96,14,33,25,29,8,29,24,14,2,10,25,137),
(273,22300273,1610612744,41,82,15,39,23,31,10,37,30,3,4,7,18,120),
(274,22300274,1610612753,46,89,12,31,26,33,10,34,35,6,8,14,23,130),
(275,22300275,1610612738,39,77,16,33,31,36,10,36,25,10,8,20,18,125),
(276,22300276,1610612752,45,90,16,36,13,16,11,32,30,6,3,12,15,119),
(277,22300277,1610612742,34,92,12,39,14,21,13,29,27,9,5,11,13,94),
(278,22300278,1610612740,42,85,10,31,27,29,10,32,26,8,6,11,15,121),
(279,22300279,1610612743,50,88,12,32,7,12,4,28,38,8,4,9,21,119),
(280,22300280,1610612744,38,86,17,43,19,24,6,36,31,5,4,13,15,112),
(281,22300281,1610612766,44,91,12,25,17,19,10,26,29,6,4,8,22,117),
(282,22300282,1610612751,46,91,14,34,23,31,14,43,31,4,8,11,21,129),
(283,22300283,1610612739,44,89,10,30,12,18,8,35,25,11,1,11,18,110),
(284,22300284,1610612754,56,85,16,32,16,20,3,29,35,4,8,9,24,144),
(285,22300285,1610612741,48,88,17,40,11,15,12,29,32,6,8,13,21,124),
(286,22300286,1610612737,45,101,15,38,16,21,15,25,23,11,4,11,14,121),
(287,22300287,1610612742,39,87,19,52,23,35,15,32,26,5,12,15,21,120),
(288,22300288,1610612763,39,86,9,31,22,24,8,32,14,9,8,15,31,109),
(289,22300289,1610612757,38,95,13,40,24,27,11,29,17,11,5,9,20,113),
(290,22300290,1610612743,49,99,6,25,13,20,8,38,35,9,7,10,14,117),
(291,22300291,1610612745,36,89,11,31,14,18,11,43,24,5,7,16,23,97),
(292,22301202,1610612738,46,97,12,41,8,12,13,43,27,5,9,17,19,112),
(293,22301204,1610612740,47,87,14,31,19,23,13,29,29,12,7,12,22,127),
(294,22301201,1610612749,55,91,23,38,13,19,12,25,32,12,6,12,23,146),
(295,22301203,1610612747,38,102,9,30,21,25,21,24,24,11,2,9,19,106),
(296,22301205,1610612739,46,86,14,34,15,20,10,35,29,5,2,15,27,121),
(297,22301206,1610612765,41,91,11,35,9,9,8,34,30,9,6,16,17,102),
(298,22301208,1610612755,47,92,8,27,29,34,11,32,29,7,2,11,14,131),
(299,22301207,1610612748,41,89,14,38,16,19,8,36,33,5,4,7,18,112),
(300,22301209,1610612737,42,94,12,35,17,18,11,38,25,5,4,12,23,113),
(301,22301210,1610612750,36,87,12,40,18,21,11,44,20,4,10,14,16,102),
(302,22301211,1610612766,39,90,10,37,12,12,12,30,25,9,9,16,24,100),
(303,22301212,1610612745,40,83,15,33,15,22,10,43,28,6,5,19,16,110),
(304,22301213,1610612742,56,101,22,49,13,19,11,36,37,11,5,7,14,147),
(305,22301214,1610612744,36,86,10,34,28,33,15,35,20,4,3,17,19,110),
(306,22301215,1610612743,41,98,12,31,8,9,14,32,29,7,5,11,20,102),
(307,22301229,1610612754,50,102,7,33,21,25,15,36,30,9,8,9,21,128),
(308,22301230,1610612747,47,86,17,35,22,29,11,48,31,6,4,14,16,133),
(309,22301216,1610612766,44,79,13,25,18,20,7,24,30,7,4,15,15,119),
(310,22301217,1610612765,34,81,6,30,17,24,8,30,17,3,2,15,17,91),
(311,22301218,1610612737,41,104,13,39,19,21,23,32,20,3,4,13,23,114),
(312,22301219,1610612751,50,104,10,33,14,18,18,37,27,8,8,10,18,124),
(313,22301227,1610612738,48,91,19,47,18,21,8,26,24,8,5,7,19,133),
(314,22301220,1610612739,40,87,14,38,17,26,12,39,21,13,2,13,17,111),
(315,22301221,1610612763,37,86,15,35,14,19,8,20,24,7,4,9,23,103),
(316,22301222,1610612744,49,104,19,48,19,23,24,36,29,3,2,28,28,136),
(317,22301223,1610612741,47,102,13,28,14,24,24,32,27,9,2,7,19,121),
(318,22301224,1610612743,38,90,10,28,20,27,12,35,22,4,5,10,24,106),
(319,22301228,1610612756,40,83,11,32,15,23,8,32,26,8,5,11,19,106),
(320,22301225,1610612746,43,88,15,34,16,21,11,29,23,8,9,12,18,117),
(321,22301226,1610612742,47,91,12,39,19,22,9,33,26,8,5,15,23,125),
(322,62300001,1610612754,35,95,10,41,29,33,9,23,27,10,7,9,33,109),
(323,22300292,1610612766,40,84,17,41,17,22,6,25,31,3,2,10,22,114),
(324,22300293,1610612765,45,81,10,29,23,30,6,24,26,11,4,14,18,123),
(325,22300294,1610612739,30,85,9,40,25,33,18,30,15,10,3,14,23,94),
(326,22300295,1610612755,52,95,20,46,22,25,9,38,37,14,6,13,27,146),
(327,22300296,1610612737,44,96,17,44,17,18,13,22,25,9,2,10,21,122),
(328,22300297,1610612752,52,86,17,29,15,23,14,28,36,5,3,15,22,136),
(329,22300298,1610612745,32,93,12,39,17,20,15,45,20,7,2,16,18,93),
(330,22300299,1610612742,43,86,17,40,17,19,10,33,27,8,9,17,17,120),
(331,22300300,1610612741,47,114,15,34,20,25,18,33,25,3,4,6,27,129),
(332,22300301,1610612750,40,91,13,36,14,19,11,36,26,5,3,11,28,107),
(333,22300302,1610612760,50,96,18,38,16,17,7,32,35,9,7,12,17,134),
(334,22300303,1610612751,42,88,14,29,20,21,10,31,24,4,6,13,13,118),
(335,22300304,1610612746,49,89,13,34,21,22,9,26,33,7,9,9,20,132),
(336,22300305,1610612738,38,84,18,44,26,26,12,33,23,9,9,13,13,120),
(337,22300306,1610612742,44,89,21,43,18,21,12,24,28,7,5,10,17,127),
(338,22300307,1610612741,36,86,13,40,21,23,11,30,26,6,9,12,22,106),
